Comment,Designator,Footprint,LCSC
1K,"R19,R22,R25",R_0402_1005Metric,C11702
10nF,C23,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15195
10uF,C22,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C15525
1uF,"C10,C11,C3,C4,C5,C7,C8,C9",C_0603_1608Metric,C15849
10uF,C2,C_0603_1608Metric,C19702
SMF5V0A,D2,D_SMF,C1972946
SMAJ18A,D1,D_SMA,C20883287
2.2,"R26,R27,R28,R29,R30,R31",R_0603_1608Metric,C22939
100,R14,R_0402_1005Metric,C25076
10K,"R12,R13,R17,R18,R20,R21,R23,R24",R_0402_1005Metric,C25744
GM7333,U1,SOT-89-3,C2833582
GD32E230G6U6TR,U4,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,C2835081
DRV8300DRGER,U2,RGE0024B-IPC_A,C3655801
1uF,"C20,C21,C28",C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,C52923
78L10,U3,SOT-89-3,C6718417
10uF,"C1,C34,C35,C36,C37,C38,C39,C40,C41,C42,C43",C_0603_1608Metric,C96446
