Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,10uF,C_0603_1608Metric,117.5,-71.0,180.0,top
C10,1uF,C_0603_1608Metric,120.0,-88.0,0.0,top
C11,1uF,C_0603_1608Metric,120.0,-81.0,0.0,top
C2,10uF,C_0603_1608Metric,120.0,-78.0,0.0,top
C20,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,107.8,-79.25,180.0,top
C21,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,116.5,-85.5,180.0,top
C22,10uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.284132,-88.006745,180.0,top
C23,10nF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,117.0,-79.5,90.0,top
C28,1uF,C_0402_1005Metric_Pad0.74x0.62mm_HandSolder,115.5,-79.5,90.0,top
C3,1uF,C_0603_1608Metric,114.5,-88.0,180.0,top
C34,10uF,C_0603_1608Metric,113.725,-68.5,0.0,top
C35,10uF,C_0603_1608Metric,113.734597,-70.0,0.0,top
C36,10uF,C_0603_1608Metric,113.734597,-71.5,0.0,top
C37,10uF,C_0603_1608Metric,113.734597,-73.01,0.0,top
C38,10uF,C_0603_1608Metric,113.734597,-74.5,0.0,top
C39,10uF,C_0603_1608Metric,110.725,-74.5,180.0,top
C4,1uF,C_0603_1608Metric,111.5,-88.5,180.0,top
C40,10uF,C_0603_1608Metric,110.725,-73.006755,180.0,top
C41,10uF,C_0603_1608Metric,110.725,-71.5,180.0,top
C42,10uF,C_0603_1608Metric,110.725,-70.0,180.0,top
C43,10uF,C_0603_1608Metric,110.725,-68.5,180.0,top
C5,1uF,C_0603_1608Metric,108.5,-88.0,180.0,top
C7,1uF,C_0402_1005Metric,101.7,-77.1,-90.0,top
C8,1uF,C_0402_1005Metric,101.7,-68.1,-90.0,top
C9,1uF,C_0402_1005Metric,101.7,-86.5,-90.0,top
D1,SMAJ18A,D_SMA,120.0,-66.0,180.0,top
D2,SMF5V0A,D_SMF,122.1,-70.25,180.0,top
R12,10K,R_0402_1005Metric,108.0,-74.25,0.0,top
R13,10K,R_0402_1005Metric,125.5,-79.0,0.0,top
R14,100,R_0402_1005Metric,119.0,-79.5,0.0,top
R17,10K,R_0402_1005Metric,112.0,-66.0,180.0,top
R18,10K,R_0402_1005Metric,110.0,-67.0,0.0,top
R19,1K,R_0402_1005Metric,112.0,-67.0,0.0,top
R20,10K,R_0402_1005Metric,103.0,-71.25,180.0,top
R21,10K,R_0402_1005Metric,103.0,-72.5,0.0,top
R22,1K,R_0402_1005Metric,105.0,-72.5,0.0,top
R23,10K,R_0402_1005Metric,103.0,-80.5,180.0,top
R24,10K,R_0402_1005Metric,103.0,-82.0,0.0,top
R25,1K,R_0402_1005Metric,105.0,-82.0,0.0,top
R26,2.2,R_0603_1608Metric,103.7,-67.0,180.0,top
R27,2.2,R_0603_1608Metric,103.7,-69.0,180.0,top
R28,2.2,R_0603_1608Metric,103.7,-76.0,0.0,top
R29,2.2,R_0603_1608Metric,103.7,-77.6,180.0,top
R30,2.2,R_0603_1608Metric,103.7,-85.5,0.0,top
R31,2.2,R_0603_1608Metric,103.7,-87.5,0.0,top
U1,GM7333,SOT-89-3,120.2,-74.5,0.0,top
U2,DRV8300DRGER,RGE0024B-IPC_A,111.5,-84.725001,-90.0,top
U3,78L10,SOT-89-3,120.7,-84.5,0.0,top
U4,GD32E230G6U6TR,QFN-28-1EP_4x4mm_P0.4mm_EP2.6x2.6mm,111.65,-78.35,0.0,top
